1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
8.9722E-3	2.4864E-2	5.4341E-2	1.0264E-1	1.7534E-1	2.7840E-1	4.1822E-1	6.0131E-1	8.3448E-1	1.12E+00	1.48E+00	1.91E+00	2.41E+00	3.00E+00	3.69E+00	4.48E+00	5.38E+00	6.39E+00	7.54E+00	8.81E+00	1.02E+01	1.18E+01	1.35E+01	1.54E+01	1.75E+01	1.97E+01	2.22E+01	2.48E+01	2.76E+01	3.07E+01	3.39E+01	3.74E+01	4.11E+01	4.51E+01	4.93E+01	5.38E+01	5.85E+01	6.35E+01	6.88E+01	7.43E+01	8.02E+01	8.63E+01	9.28E+01	9.95E+01	1.07E+02	1.14E+02	1.22E+02	1.30E+02	1.38E+02	1.47E+02	1.56E+02	1.65E+02	1.75E+02	1.85E+02	1.96E+02	2.06E+02	2.18E+02	2.29E+02	2.41E+02	2.54E+02	2.66E+02	2.80E+02	2.93E+02	3.07E+02	3.21E+02	3.36E+02	3.51E+02	3.67E+02	3.83E+02	3.99E+02	4.16E+02	4.33E+02	4.51E+02	4.69E+02	4.87E+02	5.06E+02	5.25E+02	5.45E+02	5.65E+02	5.86E+02	6.07E+02	6.28E+02	6.50E+02	6.72E+02	6.95E+02	7.18E+02	7.42E+02	7.66E+02	7.90E+02	8.15E+02	8.40E+02	8.66E+02	8.92E+02	9.18E+02	9.45E+02	9.72E+02	1.00E+03	1.03E+03	1.06E+03	1.09E+03
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	27.05	25.28	24.22	23.61	23.44	23.69	24.17	24.72	25.08	25.32	24.99	23.78	21.44	19.98	19.3	18.32	17.08	16.62	16.74	16.85	16.96	18.57	20.44	22.25	24.23	27.94	31.56	35.07	38.26	40.89	43.45	45.95	48.39	50.77	53.1	55.37	57.97	60.72	63.41	66.05	69	72.07	75.07	78.02	80.99	83.95	86.85	89.69	92.24	94.61	96.93	99.21	101.18	102.94	104.68	106.38	107.86	109.23	110.57	111.89	113.06	114.19	115.3	116.38	117.38	118.36	119.33	120.37	121.4	122.43	123.75	125.14	126.53	128.4	130.25	132.44	134.83	137.22	139.61	142.22	144.48	146.83	149.19	151.56	153.86	156.04	158.1	160.05
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	27.02	25.11	23.86	23.07	22.8	23.2	24.28	26.11	28.59	30.02	31.08	31.42	30.73	29.53	27.64	24.66	20.77	18.82	18.39	17.97	17.57	19.24	21.28	23.26	25.33	28.53	31.65	34.68	37.44	39.76	42.02	44.22	46.47	48.75	50.98	53.15	55.69	58.39	61.04	63.63	66.68	69.91	73.06	76.16	79.35	82.55	85.7	88.79	91.6	94.25	96.85	99.4	101.66	103.73	105.76	107.76	109.49	111.06	112.61	114.13	115.42	116.65	117.87	119.05	120.18	121.3	122.4	123.61	124.83	126.03	127.51	129.05	130.58	132.56	134.51	136.62	138.82	140.98	143.11	145.53	147.56	149.7	151.83	153.97	156.05	158.03	159.9	161.69
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	27	25.01	23.59	22.51	21.81	21.61	21.88	22.67	23.98	25.59	27.62	29.96	32.5	33.42	32.51	30.47	27.35	24.93	23.3	21.73	20.2	21.36	23.02	24.63	26.32	29.09	31.78	34.39	36.83	38.96	41.05	43.09	45.17	47.29	49.35	51.38	53.83	56.49	59.09	61.63	64.75	68.08	71.34	74.54	78.07	81.72	85.3	88.82	92.04	95.08	98.06	100.99	103.55	105.87	108.15	110.39	112.26	113.95	115.61	117.24	118.55	119.79	121.01	122.19	123.27	124.33	125.38	126.53	127.67	128.81	130.17	131.59	132.99	134.65	136.28	138	139.76	141.51	143.25	145.29	146.92	148.67	150.41	152.15	153.85	155.47	157	158.46
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	26.99	24.96	23.43	22.15	21.14	20.45	20.01	19.83	19.87	20.32	21.1	22.16	23.48	24.45	24.93	25.08	24.78	24.33	23.94	23.57	23.2	24.18	25.39	26.56	27.84	30.14	32.38	34.56	36.69	38.79	40.84	42.84	44.84	46.83	48.78	50.68	52.95	55.4	57.79	60.13	63.24	66.65	69.98	73.25	76.96	80.84	84.65	88.38	91.7	94.76	97.77	100.72	103.16	105.26	107.33	109.36	111.02	112.48	113.92	115.33	116.47	117.55	118.61	119.63	120.54	121.43	122.32	123.29	124.27	125.23	126.4	127.61	128.8	130.11	131.39	132.79	134.26	135.76	137.28	139.1	140.48	141.99	143.49	145	146.48	147.88	149.2	150.45
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	26.99	24.94	23.39	22.06	20.97	20.16	19.54	19.12	18.84	18.83	19.02	19.37	19.87	20.39	20.87	21.25	21.42	21.63	21.92	22.2	22.48	23.71	25.1	26.45	27.88	30.27	32.6	34.86	37.06	39.19	41.26	43.28	45.37	47.52	49.62	51.67	53.87	56.11	58.31	60.45	63.3	66.4	69.45	72.43	75.66	78.96	82.19	85.37	88.14	90.66	93.13	95.56	97.51	99.14	100.75	102.33	103.61	104.74	105.85	106.94	107.77	108.55	109.31	110.03	110.64	111.23	111.81	112.43	113.05	113.66	114.39	115.13	115.87	116.68	117.49	118.4	119.36	120.33	121.29	122.5	123.39	124.38	125.37	126.38	127.35	128.25	129.09	129.86
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	26.99	24.94	23.37	22.03	20.91	20.07	19.42	18.96	18.63	18.47	18.43	18.49	18.62	18.9	19.28	19.62	19.84	20.13	20.5	20.86	21.21	22.51	23.95	25.36	26.87	29.52	32.09	34.59	36.97	39.16	41.3	43.39	45.67	48.12	50.5	52.83	55.11	57.33	59.51	61.64	64.24	67.02	69.75	72.42	75.2	78	80.75	83.45	85.66	87.57	89.45	91.3	92.67	93.75	94.8	95.84	96.61	97.24	97.86	98.47	98.87	99.24	99.6	99.92	100.13	100.34	100.55	100.6	100.62	100.64	100.73	100.85	100.97	101.16	101.36	101.69	102.11	102.57	103.07	103.9	104.29	104.84	105.4	105.97	106.51	106.98	107.37	107.7
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	26.99	24.93	23.36	22.01	20.88	20.03	19.37	18.91	18.59	18.38	18.27	18.24	18.24	18.4	18.66	18.9	19.02	19.26	19.61	19.94	20.26	21.46	22.81	24.13	25.59	28.54	31.41	34.21	36.91	39.49	42.01	44.46	47.11	49.9	52.63	55.3	57.81	60.2	62.55	64.84	67.52	70.33	73.09	75.78	78.5	81.2	83.84	86.44	88.46	90.16	91.82	93.45	94.57	95.36	96.13	96.9	97.38	97.71	98.05	98.37	98.52	98.63	98.74	98.83	98.81	98.8	98.79	98.58	98.33	98.09	97.94	97.8	97.67	97.56	97.45	97.53	97.73	98.01	98.37	99.21	99.39	99.83	100.28	100.72	101.14	101.47	101.73	101.91
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	26.99	24.93	23.35	21.99	20.85	19.99	19.33	18.86	18.53	18.29	18.15	18.07	18.03	18.12	18.29	18.43	18.47	18.66	18.95	19.23	19.51	20.59	21.8	22.97	24.35	27.63	30.83	33.94	36.96	39.88	42.73	45.51	48.4	51.38	54.29	57.13	59.71	62.12	64.48	66.79	69.46	72.26	75.01	77.7	80.32	82.9	85.42	87.89	89.77	91.3	92.8	94.28	95.32	96.09	96.84	97.58	98.07	98.45	98.82	99.18	99.33	99.45	99.56	99.64	99.62	99.6	99.59	99.5	99.4	99.3	99.3	99.34	99.37	99.45	99.53	99.8	100.18	100.64	101.17	102.17	102.52	103.12	103.73	104.33	104.89	105.38	105.8	106.14
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	26.99	24.93	23.35	21.98	20.83	19.96	19.28	18.79	18.43	18.16	17.98	17.86	17.77	17.81	17.91	18	18	18.15	18.41	18.67	18.92	19.9	21.01	22.09	23.4	26.84	30.18	33.44	36.61	39.68	42.68	45.6	48.64	51.78	54.84	57.83	60.43	62.8	65.12	67.39	69.83	72.31	74.74	77.12	79.51	81.87	84.19	86.46	88.29	89.87	91.42	92.94	94.11	95.06	95.99	96.91	97.62	98.22	98.81	99.4	99.78	100.13	100.47	100.77	100.96	101.15	101.33	101.49	101.64	101.78	102.05	102.35	102.64	103.02	103.39	103.98	104.71	105.52	106.4	107.75	108.43	109.36	110.29	111.19	112.06	112.87	113.62	114.29
