1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
8.9722E-3	2.4864E-2	5.4341E-2	1.0264E-1	1.7534E-1	2.7840E-1	4.1822E-1	6.0131E-1	8.3448E-1	1.12E+00	1.48E+00	1.91E+00	2.41E+00	3.00E+00	3.69E+00	4.48E+00	5.38E+00	6.39E+00	7.54E+00	8.81E+00	1.02E+01	1.18E+01	1.35E+01	1.54E+01	1.75E+01	1.97E+01	2.22E+01	2.48E+01	2.76E+01	3.07E+01	3.39E+01	3.74E+01	4.11E+01	4.51E+01	4.93E+01	5.38E+01	5.85E+01	6.35E+01	6.88E+01	7.43E+01	8.02E+01	8.63E+01	9.28E+01	9.95E+01	1.07E+02	1.14E+02	1.22E+02	1.30E+02	1.38E+02	1.47E+02	1.56E+02	1.65E+02	1.75E+02	1.85E+02	1.96E+02	2.06E+02	2.18E+02	2.29E+02	2.41E+02	2.54E+02	2.66E+02	2.80E+02	2.93E+02	3.07E+02	3.21E+02	3.36E+02	3.51E+02	3.67E+02	3.83E+02	3.99E+02	4.16E+02	4.33E+02	4.51E+02	4.69E+02	4.87E+02	5.06E+02	5.25E+02	5.45E+02	5.65E+02	5.86E+02	6.07E+02	6.28E+02	6.50E+02	6.72E+02	6.95E+02	7.18E+02	7.42E+02	7.66E+02	7.90E+02	8.15E+02	8.40E+02	8.66E+02	8.92E+02	9.18E+02	9.45E+02	9.72E+02	1.00E+03	1.03E+03	1.06E+03	1.09E+03
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	26.99	24.93	23.35	21.99	20.85	19.98	19.3	18.8	18.42	18.1	17.85	17.62	17.39	17.22	17.08	16.91	16.66	16.53	16.47	16.42	16.36	17.84	19.59	21.28	23.1	26.34	29.48	32.55	35.27	37.41	39.49	41.53	43.26	44.74	46.18	47.59	48.93	50.23	51.5	52.74	54.07	55.42	56.74	58.03	59.14	60.15	61.14	62.11	62.81	63.35	63.88	64.39	64.72	64.92	65.13	65.32	65.46	65.58	65.69	65.8	65.87	65.93	65.99	66.03	66.01	65.99	65.97	65.96	65.96	65.96	66.01	66.07	66.14	66.28	66.43	66.52	66.57	66.62	66.65	66.63	66.68	66.71	66.74	66.78	66.82	66.85	66.86	66.87
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	26.99	24.93	23.35	21.98	20.83	19.96	19.26	18.75	18.36	18.01	17.72	17.44	17.16	16.9	16.64	16.34	15.98	15.95	16.14	16.31	16.48	18.31	20.42	22.47	24.57	27.55	30.44	33.26	35.8	37.88	39.91	41.89	43.6	45.07	46.52	47.93	49.18	50.33	51.46	52.57	53.69	54.81	55.9	56.98	57.95	58.87	59.78	60.67	61.34	61.89	62.44	62.97	63.33	63.57	63.82	64.05	64.22	64.34	64.47	64.59	64.63	64.65	64.68	64.68	64.6	64.52	64.45	64.41	64.38	64.34	64.33	64.32	64.32	64.36	64.4	64.4	64.38	64.33	64.24	64.15	64.11	64.04	63.99	63.94	63.89	63.84	63.77	63.69
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	26.99	24.93	23.36	21.99	20.84	19.96	19.25	18.7	18.25	17.87	17.55	17.25	16.94	16.66	16.39	16.08	15.72	15.8	16.15	16.49	16.81	18.67	20.77	22.82	24.9	27.74	30.49	33.18	35.63	37.67	39.67	41.61	43.34	44.87	46.37	47.83	49.12	50.32	51.49	52.63	53.75	54.84	55.91	56.97	57.9	58.77	59.63	60.47	61.12	61.66	62.2	62.72	63.09	63.36	63.63	63.89	64.06	64.19	64.31	64.43	64.45	64.45	64.45	64.42	64.29	64.15	64.02	63.9	63.77	63.65	63.51	63.36	63.22	63.06	62.91	62.72	62.52	62.29	62.05	61.84	61.63	61.42	61.22	61.03	60.84	60.63	60.42	60.19
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	27	24.98	23.48	22.2	21.14	20.31	19.59	18.92	18.19	17.79	17.44	17.1	16.75	16.46	16.19	15.91	15.6	15.77	16.23	16.68	17.12	18.88	20.85	22.77	24.76	27.65	30.47	33.21	35.71	37.81	39.86	41.87	43.64	45.22	46.77	48.28	49.57	50.74	51.89	53.01	54.16	55.31	56.44	57.55	58.51	59.39	60.26	61.11	61.73	62.21	62.68	63.14	63.45	63.67	63.88	64.08	64.19	64.26	64.32	64.38	64.37	64.35	64.32	64.27	64.14	64.02	63.89	63.76	63.63	63.5	63.36	63.21	63.06	62.9	62.75	62.56	62.36	62.12	61.83	61.53	61.31	61.07	60.85	60.62	60.4	60.16	59.91	59.66
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	27.05	25.23	24.05	23.2	22.59	22.12	21.49	20.42	18.7	18.31	17.92	17.45	16.87	16.47	16.22	15.95	15.65	15.81	16.27	16.71	17.14	18.75	20.55	22.3	24.14	27.09	29.96	32.75	35.32	37.54	39.69	41.8	43.73	45.52	47.27	48.97	50.48	51.87	53.22	54.55	55.87	57.18	58.45	59.7	60.74	61.67	62.58	63.47	64.08	64.53	64.97	65.4	65.65	65.78	65.91	66.05	66.1	66.11	66.12	66.13	66.07	66.01	65.95	65.88	65.77	65.67	65.56	65.45	65.33	65.21	65.06	64.91	64.76	64.65	64.55	64.41	64.27	64.09	63.86	63.67	63.51	63.33	63.17	63.01	62.85	62.68	62.5	62.29
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	27.1	25.51	24.74	24.45	24.49	24.67	24.55	23.64	21.57	21.34	20.76	19.65	17.87	16.85	16.54	16.19	15.78	15.87	16.29	16.69	17.09	18.54	20.17	21.75	23.44	26.29	29.07	31.77	34.3	36.56	38.76	40.91	42.9	44.74	46.54	48.3	49.98	51.59	53.17	54.72	56.28	57.82	59.34	60.82	62.05	63.15	64.23	65.29	66.01	66.55	67.08	67.6	67.92	68.13	68.33	68.53	68.65	68.73	68.81	68.89	68.94	68.98	69.02	69.05	69.05	69.05	69.05	69.03	69.01	68.99	68.97	68.96	68.95	69.12	69.28	69.35	69.36	69.28	69.12	68.91	68.86	68.75	68.66	68.58	68.5	68.41	68.29	68.14
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	27.1	25.51	24.79	24.67	25.11	26.05	27.22	28.32	28.97	29.32	28.58	26.27	21.99	19.5	18.71	17.62	16.29	15.95	16.29	16.63	16.95	18.25	19.71	21.12	22.64	25.33	27.95	30.5	32.92	35.14	37.3	39.41	41.47	43.48	45.45	47.37	49.26	51.13	52.96	54.75	56.61	58.47	60.3	62.09	63.59	64.95	66.28	67.58	68.51	69.21	69.91	70.59	71.06	71.39	71.72	72.05	72.28	72.48	72.66	72.85	72.96	73.05	73.14	73.22	73.27	73.31	73.36	73.39	73.42	73.44	73.57	73.71	73.87	74.34	74.81	75.15	75.42	75.53	75.53	75.37	75.55	75.6	75.66	75.74	75.82	75.88	75.91	75.92
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	27.07	25.36	24.49	24.27	24.77	26.12	28.28	31.25	34.76	36.39	36.87	35.57	31.95	29.08	26.76	23.29	18.89	16.99	16.92	16.86	16.8	17.9	19.2	20.46	21.83	24.28	26.66	28.98	31.26	33.52	35.72	37.87	40.09	42.35	44.56	46.71	48.94	51.18	53.38	55.52	57.81	60.13	62.4	64.62	66.54	68.3	70.02	71.71	72.95	73.93	74.89	75.84	76.5	76.98	77.46	77.92	78.25	78.51	78.76	79.01	79.13	79.22	79.32	79.4	79.47	79.53	79.59	79.8	80.02	80.25	80.78	81.38	81.98	82.54	83.09	83.34	83.4	83.28	83	82.57	82.53	82.34	82.17	82.03	81.9	81.74	81.53	81.3
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	27.02	25.1	23.85	23.08	22.89	23.45	24.82	27.13	30.34	32.95	35.65	38.13	40.09	39.74	36.79	31.95	25.51	21.76	20.21	18.7	17.24	17.91	18.97	20	21.15	23.46	25.7	27.89	30.12	32.48	34.78	37.03	39.42	41.92	44.37	46.76	49.29	51.87	54.39	56.86	59.56	62.34	65.06	67.73	70.06	72.22	74.34	76.42	78.03	79.37	80.69	81.98	82.98	83.78	84.58	85.36	85.95	86.44	86.93	87.41	87.68	87.92	88.16	88.37	88.52	88.66	88.8	89.09	89.39	89.68	90.1	90.54	90.96	90.99	91.02	90.8	90.43	89.9	89.24	88.48	88.04	87.5	86.98	86.47	85.98	85.47	84.91	84.32
1751.37	652.18	313.65	198.21	132.75	93.2	69.15	55.71	45.24	37.38	32.97	29.58	26.99	24.97	23.48	22.27	21.39	20.92	20.81	21.13	21.88	23.53	25.94	29.1	32.98	34.91	34.66	33.34	30.9	27.84	24.8	21.85	19	18.98	19.5	20.02	20.74	23.27	25.74	28.14	30.56	33.06	35.51	37.89	40.33	42.82	45.26	47.63	50.19	52.81	55.38	57.9	60.7	63.6	66.44	69.23	71.62	73.8	75.94	78.04	79.62	80.9	82.16	83.4	84.29	84.96	85.62	86.27	86.71	87.06	87.39	87.73	87.85	87.95	88.04	88.09	88.01	87.93	87.86	87.76	87.67	87.57	87.45	87.33	87.2	86.94	86.69	86.34	85.93	85.44	84.89	84.3	83.87	83.39	82.94	82.49	82.04	81.58	81.1	80.6
