CIPI,lat,lon
AA00,-34.56,-58.42
AA01,-36.83,-59.89
AA02,-37.7,-59.79
AA03,-36.19,-61.07
AA04,-38.0,-61.33
AA05,-37.45,-61.89
AA06,-36.32,-57.72
AA07,-34.82,-58.54
AA08,-34.55,-60.93
AA09,-34.97,-57.9
AA10,-36.04,-59.14
AA11,-37.93,-57.58
AA12,-34.56,-58.79
AA13,-34.67,-58.64
AA14,-35.44,-60.88
AA15,-34.59,-58.48
AA16,-36.89,-60.22
AA17,-34.6,-58.61
AA18,-35.84,-61.86
AA19,-37.61,-62.39
AA20,-35.35,-57.29
AA21,-34.46,-58.58
AA22,-37.24,-59.23
AA23,-35.97,-62.73
AA24,-38.36,-60.28
AA25,-37.24,-57.02
AA26,-31.3,-64.21
AA27,-31.42,-64.2
AA28,-34.13,-63.37
AA29,-32.68,-62.15
AA30,-31.67,-63.88
AA31,-33.1,-64.28
AA32,-31.95,-65.15
AA33,-29.91,-63.73
AA34,-27.44,-59.05
AA35,-26.75,-60.49
AA36,-45.79,-67.46
AA37,-42.91,-71.14
AA38,-42.76,-65.1
AA39,-27.45,-58.76
AA40,-27.59,-56.68
AA41,-29.23,-58.09
AA42,-30.26,-57.64
AA43,-29.69,-57.15
AA44,-28.59,-65.76
AA45,-28.07,-67.57
AA46,-31.3,-58.0
AA47,-33.01,-58.61
AA48,-31.79,-60.48
AA49,-26.21,-58.23
AA50,-24.7,-60.59
AA51,-24.38,-65.1
AA52,-24.18,-65.33
AA53,-22.1,-65.6
AA54,-35.69,-63.76
AA55,-36.59,-64.28
AA56,-30.35,-66.3
AA57,-31.33,-66.59
AA58,-29.22,-67.44
AA59,-29.38,-66.79
AA60,-26.28,-53.67
AA61,-25.73,-54.48
AA62,-27.48,-55.13
AA63,-27.39,-55.97
AA64,-35.48,-69.58
AA65,-32.84,-68.8
AA66,-32.89,-68.87
AA67,-33.07,-68.46
AA68,-40.08,-71.14
AA69,-38.95,-68.14
AA70,-41.15,-71.16
AA71,-38.94,-67.98
AA72,-41.95,-71.53
AA73,-41.24,-68.71
AA74,-23.15,-64.33
AA75,-24.19,-62.89
AA76,-24.84,-65.48
AA77,-22.62,-63.8
AA78,-46.54,-70.98
AA79,-51.61,-69.31
AA80,-27.51,-64.93
AA81,-27.75,-64.3
AA82,-29.88,-61.94
AA83,-32.19,-61.71
AA84,-29.21,-59.69
AA85,-32.91,-60.78
AA86,-31.71,-60.81
AA87,-33.68,-61.96
AA88,-30.23,-68.74
AA89,-31.57,-68.42
AA90,-33.27,-66.35
AB01,-32.38,-65.18
AB02,-33.72,-65.37
AB03,-53.78,-67.76
AB04,-54.84,-68.3
AB05,-26.84,-65.11
AB06,-38.71,-62.16
AB07,-34.59,-68.4
AB08,-40.86,-63.01
AB09,-50.28,-72.05
AB10,-43.21,-65.28
AB11,-25.48,-64.8
AB12,-31.44,-64.28
AB13,-30.97,-61.33
AB14,-31.27,-61.5
AB15,-32.59,-69.34
AB16,-33.77,-69.04
AB17,-34.53,-58.67
AB18,-34.68,-58.73
AB19,-36.22,-65.43
AB20,-38.99,-64.09
AB21,-40.76,-65.03
AB22,-43.86,-69.05
AB23,-48.78,-70.16
AB24,-47.73,-65.91
AB25,-49.31,-67.8
AB26,-50.02,-68.57
AB27,-60.74,-44.74
AB28,-51.82,-58.45
AB29,-63.4,-57.0
AB30,-77.87,-34.63
AB31,-62.24,-58.66
AB32,-64.24,-56.63
AB33,-68.13,-67.1
AB34,-30.15,-68.04
AB35,-31.65,-68.28
AB36,-31.33,-69.42
AB37,-35.05,-58.76
AB38,-34.45,-58.58
AB39,-34.55,-58.82
AB40,-34.82,-58.53
AB41,-34.77,-58.4
AB42,-35.03,-63.02
AB43,-34.57,-59.1
AB44,-36.87,-57.87
AB45,-38.55,-58.75
AB46,-33.33,-60.22
AB47,-36.55,-56.69
AB48,-38.15,-61.8
AB49,-40.78,-62.97
AB50,-34.08,-59.03
AB51,-25.95,-60.62
AB52,-25.62,-63.26
AB53,-45.05,-70.83
AB54,-43.17,-71.75
AB55,-42.11,-71.73
AB56,-45.92,-71.65
AB57,-45.59,-69.07
AB58,-31.67,-64.43
AB59,-30.73,-64.8
AB60,-30.98,-64.1
AB61,-31.9,-64.77
AB62,-31.33,-63.62
AB63,-31.43,-62.07
AB64,-31.72,-65.0
AB65,-31.43,-64.5
AB66,-23.9,-61.85
AB67,-37.9,-63.74
AB68,-37.98,-65.55
AB69,-37.77,-67.72
AB70,-40.16,-71.35
AB71,-37.82,-71.12
AB72,-40.76,-71.65
AB73,-37.38,-70.27
AB74,-38.9,-70.05
AB75,-39.28,-65.65
AB76,-40.7,-66.15
AB77,-46.58,-70.92
AB78,-49.98,-68.9
AB79,-46.8,-67.97
AB80,-28.47,-62.83
AB81,-25.81,-62.83
AB82,-27.64,-62.42
AB83,-25.12,-66.16
AB84,-32.23,-65.8
AB85,-35.98,-70.39
AB86,-26.87,-68.3
AB87,-23.23,-67.07
AB88,-34.23,-69.8
AB89,-32.82,-70.07
AB90,-23.84,-67.26
AC01,-30.2,-69.82
AC02,-30.67,-70.23
AC03,-34.76,-65.25
AC04,-22.79,-65.22
AC05,-24.22,-66.32
AC06,-23.2,-65.35
AC07,-32.33,-65.02
AC08,-33.11,-66.06
AC09,-23.4,-66.37
AC10,-26.7,-66.05
AC11,-27.17,-65.98
AC12,-28.08,-69.3
AC13,-26.07,-67.42
AC14,-29.13,-59.25
AC15,-32.62,-60.17
AC16,-43.3,-65.07
AC17,-54.53,-67.2
AC18,-37.19,-56.86
AC19,-32.22,-58.15
AC20,-36.69,-56.68
AC21,-36.72,-56.69
AC22,-36.37,-56.72
AC23,-38.25,-57.82
AC24,-31.1,-64.49
AC25,-40.81,-65.09
AC26,-34.74,-58.24
AC27,-43.14,-71.6
AC28,-42.24,-71.41
AC29,-42.89,-71.6
AC30,-45.51,-71.56
AC31,-44.25,-71.84
AC32,-43.58,-71.73
AC33,-44.57,-71.18
AC34,-45.57,-71.72
AC35,-42.71,-71.72
AC36,-43.09,-71.49
AC37,-35.15,-70.06
AC38,-33.64,-69.84
AC39,-40.71,-71.9
AC40,-39.79,-71.68
AC41,-40.15,-71.66
AC42,-38.84,-71.27
AC43,-39.58,-71.47
AC44,-37.48,-71.12
AC45,-38.68,-70.89
AC46,-38.88,-71.23
AC47,-41.07,-71.84
AC48,-41.54,-71.83
AC49,-41.25,-71.85
AC50,-24.43,-68.34
AC51,-29.32,-69.97
AC52,-26.89,-65.72
AC53,-42.13,-71.66
AC54,-43.22,-71.85
AC55,-45.36,-71.48
AC56,-45.91,-71.66
AC57,-23.25,-67.04
AC58,-23.82,-67.35
AC59,-23.83,-67.35
AC60,-28.16,-69.16
AC61,-32.85,-70.16
AC62,-30.2,-69.85
AC63,-30.45,-70.16
AC64,-37.8,-71.16
