tipo,ID,CIPI,nombre,desc
ESTACION,87582,AA00,BA_Aeroparque,Aeroparque
ESTACION,87641,AA01,BA_Azul,Azul
ESTACION,87649,AA02,BA_Benito_Juarez,Benito Juarez
ESTACION,87640,AA03,BA_Bolivar,Bolivar
ESTACION,87683,AA04,BA_Cnel_Pringles,Cnel Pringles
ESTACION,87637,AA05,BA_Cnel_Suarez,Cnel Suarez
ESTACION,87648,AA06,BA_Dolores,Dolores
ESTACION,87576,AA07,BA_Ezeiza,Ezeiza
ESTACION,87548,AA08,BA_Junin_Aero,Junin Aero
ESTACION,87593,AA09,BA_La_Plata,La Plata
ESTACION,87563,AA10,BA_Las_Flores,Las Flores
ESTACION,87692,AA11,BA_Mar_del_Plata,Mar Del Plata
ESTACION,87572,AA12,BA_Mariano_Moreno,Mariano Moreno
ESTACION,87574,AA13,BA_Moron,Moron
ESTACION,87550,AA14,BA_Nueve_Julio,Nueve Julio
ESTACION,87585,AA15,BA_Observatorio,Observatorio
ESTACION,87643,AA16,BA_Olavarria,Olavarria
ESTACION,87571,AA17,BA_Palomar,Palomar
ESTACION,87544,AA18,BA_Pehuajo,Pehuajo
ESTACION,87679,AA19,BA_Pigue,Pigue
ESTACION,87596,AA20,BA_Punta_Indio,Punta Indio
ESTACION,87553,AA21,BA_San_Fernando,San Fernando
ESTACION,87645,AA22,BA_Tandil,Tandil
ESTACION,87540,AA23,BA_Trenque_Lauquen,Trenque Lauquen
ESTACION,87688,AA24,BA_Tres_Arroyos,Tres Arroyos
ESTACION,87663,AA25,BA_Villa_Gesell,Villa Gesell
ESTACION,87344,AA26,CB_Cordoba_Aero,Cordoba Aero
ESTACION,87345,AA27,CB_Cordoba_Obs,Cordoba Obs
ESTACION,87534,AA28,CB_Laboulaye,Laboulaye
ESTACION,87467,AA29,CB_Marcos_Juarez,Marcos Juarez
ESTACION,87349,AA30,CB_Pilar,Pilar
ESTACION,87453,AA31,CB_Rio_Cuarto,Rio Cuarto
ESTACION,87328,AA32,CB_Villa_Dolores,Villa Dolores
ESTACION,87244,AA33,CB_Villa_Ma_RioSeco,Villa Ma Rioseco
ESTACION,87155,AA34,CC_Resistencia,Resistencia
ESTACION,87148,AA35,CC_Roque_Saenz_Pena,Roque Saenz Pena
ESTACION,87860,AA36,CH_Comod_Rivadavia,Comod Rivadavia
ESTACION,87803,AA37,CH_Esquel,Esquel
ESTACION,87823,AA38,CH_Puerto_Madryn,Puerto Madryn
ESTACION,87166,AA39,CR_Corrientes_Aero,Corrientes Aero
ESTACION,87173,AA40,CR_Ituzaingo,Ituzaingo
ESTACION,87281,AA41,CR_Mercedes,Mercedes
ESTACION,87393,AA42,CR_Monte_Caseros,Monte Caseros
ESTACION,87289,AA43,CR_Paso_Libres,Paso Libres
ESTACION,87222,AA44,CT_Catamarca_Aero,Catamarca Aero
ESTACION,87211,AA45,CT_Tinogasta,Tinogasta
ESTACION,87395,AA46,ER_Concordia,Concordia
