ID,tipo_viento
87582,4
87641,4
87649,3
87163,3
87570,4
87222,3
87320,4
87761,4
87719,3
87860,4
87345,4
87683,4
87648,4
87571,4
87470,4
87576,4
87162,4
87497,4
87097,4
87046,3
87548,4
87217,3
87534,4
87506,3
87774,3
87572,3
87418,4
87050,4
87393,4
87550,4
87187,3
87148,4
87374,4
87544,4
87852,4
87178,4
87896,3
87596,4
87360,3
87736,3
87453,4
87065,3
87480,4
87412,4
87553,4
87436,4
87416,3
87623,4
87444,3
87356,3
87645,4
87211,4
87828,4
87121,4
87043,4
87468,4
87616,3
87663,4
87244,3
87750,4
87640,3
87257,3
87322,3
87395,4
87637,4
87800,4
87347,4
87532,4
87173,4
87593,4
87563,4
87692,4
87420,3
87574,4
87643,4
87814,3
87679,3
87823,4
87270,4
87925,4
87047,4
87311,4
87509,4
87129,4
87022,3
87540,4
87938,4
87791,4
87448,4
87765,4
87585,4
87213,4
87344,4
87166,3
87904,3
87803,4
87880,4
87305,4
87007,3
87078,4
87467,4
87573,4
87715,4
87016,3
87289,4
87349,4
87155,4
87934,4
87784,4
87909,4
87912,3
87127,4
87688,4
87405,4
87328,3
87371,4
87281,4
88889,4
89055,4
89034,4
89066,4
88963,4
89053,4
88968,4
