Tipo,ID,Nombre,Descripcion,Lat,Lon,Altura
ESTACION,87582,BA_Aeroparque,Aeroparque,-34.56,-58.42,10.0
ESTACION,87641,BA_Azul,Azul,-36.83,-59.89,148.0
ESTACION,87649,BA_Benito_Juarez,Benito Juarez,-37.7,-59.79,207.0
ESTACION,87640,BA_Bolivar,Bolivar,-36.19,-61.07,90.0
ESTACION,87683,BA_Cnel_Pringles,Cnel Pringles,-38,-61.33,253.0
ESTACION,87637,BA_Cnel_Suarez,Cnel Suarez,-37.45,-61.89,231.0
ESTACION,87648,BA_Dolores,Dolores,-36.32,-57.72,9.0
ESTACION,87576,BA_Ezeiza,Ezeiza,-34.82,-58.54,18.0
ESTACION,87548,BA_Junin_Aero,Junin Aero,-34.55,-60.93,81.0
ESTACION,87593,BA_La_Plata,La Plata,-34.97,-57.9,15.0
ESTACION,87563,BA_Las_Flores,Las Flores,-36.04,-59.14,37.0
ESTACION,87692,BA_Mar_del_Plata,Mar Del Plata,-37.93,-57.58,15.0
ESTACION,87572,BA_Mariano_Moreno,Mariano Moreno,-34.56,-58.79,30.0
ESTACION,87574,BA_Moron,Moron,-34.67,-58.64,27.0
ESTACION,87550,BA_Nueve_Julio,Nueve Julio,-35.44,-60.88,75.0
ESTACION,87585,BA_Observatorio,Observatorio,-34.59,-58.48,24.0
ESTACION,87643,BA_Olavarria,Olavarria,-36.89,-60.22,164.0
ESTACION,87571,BA_Palomar,Palomar,-34.6,-58.61,23.0
ESTACION,87544,BA_Pehuajo,Pehuajo,-35.84,-61.86,84.0
ESTACION,87679,BA_Pigue,Pigue,-37.61,-62.39,302.0
ESTACION,87596,BA_Punta_Indio,Punta Indio,-35.35,-57.29,11.0
ESTACION,87553,BA_San_Fernando,San Fernando,-34.46,-58.58,11.0
ESTACION,87645,BA_Tandil,Tandil,-37.24,-59.23,175.0
ESTACION,87540,BA_Trenque_Lauquen,Trenque Lauquen,-35.97,-62.73,92.0
ESTACION,87688,BA_Tres_Arroyos,Tres Arroyos,-38.36,-60.28,114.0
ESTACION,87663,BA_Villa_Gesell,Villa Gesell,-37.24,-57.02,7.0
ESTACION,87344,CB_Cordoba_Aero,Cordoba Aero,-31.3,-64.21,495.0
ESTACION,87345,CB_Cordoba_Obs,Cordoba Obs,-31.42,-64.2,440.0
ESTACION,87534,CB_Laboulaye,Laboulaye,-34.13,-63.37,138.0
ESTACION,87467,CB_Marcos_Juarez,Marcos Juarez,-32.68,-62.15,113.0
ESTACION,87349,CB_Pilar,Pilar,-31.67,-63.88,329.0
ESTACION,87453,CB_Rio_Cuarto,Rio Cuarto,-33.1,-64.28,429.0
ESTACION,87328,CB_Villa_Dolores,Villa Dolores,-31.95,-65.15,530.0
ESTACION,87244,CB_Villa_Ma_RioSeco,Villa Ma Rioseco,-29.91,-63.73,362.0
ESTACION,87155,CC_Resistencia,Resistencia,-27.44,-59.05,55.0
ESTACION,87148,CC_Roque_Saenz_Pena,Roque Saenz Pena,-26.75,-60.49,97.0
ESTACION,87860,CH_Comod_Rivadavia,Comod Rivadavia,-45.79,-67.46,87.0
ESTACION,87803,CH_Esquel,Esquel,-42.91,-71.14,842.0
ESTACION,87823,CH_Puerto_Madryn,Puerto Madryn,-42.76,-65.1,115.0
ESTACION,87166,CR_Corrientes_Aero,Corrientes Aero,-27.45,-58.76,56.0
ESTACION,87173,CR_Ituzaingo,Ituzaingo,-27.59,-56.68,73.0
ESTACION,87281,CR_Mercedes,Mercedes,-29.23,-58.09,98.0
ESTACION,87393,CR_Monte_Caseros,Monte Caseros,-30.26,-57.64,50.0
ESTACION,87289,CR_Paso_Libres,Paso Libres,-29.69,-57.15,69.0
ESTACION,87222,CT_Catamarca_Aero,Catamarca Aero,-28.59,-65.76,456.0
ESTACION,87211,CT_Tinogasta,Tinogasta,-28.07,-67.57,1206.0
ESTACION,87395,ER_Concordia,Concordia,-31.3,-58,33.0
ESTACION,87497,ER_Gualeguaychu,Gualeguaychu,-33.01,-58.61,17.0
ESTACION,87374,ER_Parana,Parana,-31.79,-60.48,75.0
ESTACION,87162,FO_Formosa,Formosa,-26.21,-58.23,60.0
ESTACION,87078,FO_Las_Lomitas,Las Lomitas,-24.7,-60.59,134.0
ESTACION,87046,JY_Jujuy_Aero,Jujuy Aero,-24.38,-65.1,939.0
ESTACION,87043,JY_Jujuy_Univ,Jujuy Univ,-24.18,-65.33,1419.0
ESTACION,87007,JY_La_Quiaca,La Quiaca,-22.1,-65.6,3468.0
ESTACION,87532,LP_Gral_Pico,Gral Pico,-35.69,-63.76,138.0
ESTACION,87623,LP_Santa_Rosa,Santa Rosa,-36.59,-64.28,195.0
ESTACION,87320,LR_Chamical_Aero,Chamical Aero,-30.35,-66.3,460.0
ESTACION,87322,LR_Chepes,Chepes,-31.33,-66.59,671.0
ESTACION,87213,LR_Chilecito,Chilecito,-29.22,-67.44,926.0
ESTACION,87217,LR_La_Rioja_Aero,La Rioja Aero,-29.38,-66.79,454.0
ESTACION,87163,MN_Bern_Irigoyen,Bern Irigoyen,-26.28,-53.67,747.0
ESTACION,87097,MN_Iguazu,Iguazu,-25.73,-54.48,251.0
ESTACION,87187,MN_Obera,Obera,-27.48,-55.13,331.0
ESTACION,87178,MN_Posadas,Posadas,-27.39,-55.97,109.0
ESTACION,87506,MZ_Malargue,Malargue,-35.48,-69.58,1455.0
